params,accuracy,f1_score
50-4-0.01,0.7058823529411765,0.7058823529411765
50-10-0.01,0.7058823529411765,0.7058823529411765
50-4-0.05,0.7058823529411765,0.7058823529411765
50-10-0.05,0.7058823529411765,0.7058823529411765
50-4-0.1,0.7647058823529411,0.7777777777777778
50-10-0.1,0.7647058823529411,0.7777777777777778
100-4-0.01,0.7058823529411765,0.7058823529411765
100-10-0.01,0.7058823529411765,0.7058823529411765
100-4-0.05,0.7647058823529411,0.7777777777777778
100-10-0.05,0.7647058823529411,0.7777777777777778
100-4-0.1,0.7647058823529411,0.7777777777777778
100-10-0.1,0.7647058823529411,0.7777777777777778
200-4-0.01,0.7058823529411765,0.7058823529411765
200-10-0.01,0.7058823529411765,0.7058823529411765
200-4-0.05,0.7647058823529411,0.7777777777777778
200-10-0.05,0.7647058823529411,0.7777777777777778
200-4-0.1,0.7647058823529411,0.7777777777777778
200-10-0.1,0.7647058823529411,0.7777777777777778
