params,accuracy,f1_score
50-4-0.01,0.4583333333333333,0.6285714285714286
50-10-0.01,0.4583333333333333,0.6285714285714286
50-4-0.05,0.7916666666666666,0.782608695652174
50-10-0.05,0.7916666666666666,0.782608695652174
50-4-0.1,0.7916666666666666,0.782608695652174
50-10-0.1,0.7916666666666666,0.782608695652174
100-4-0.01,0.6666666666666666,0.6923076923076923
100-10-0.01,0.6666666666666666,0.6923076923076923
100-4-0.05,0.7916666666666666,0.782608695652174
100-10-0.05,0.7916666666666666,0.782608695652174
100-4-0.1,0.75,0.75
100-10-0.1,0.7916666666666666,0.782608695652174
200-4-0.01,0.7916666666666666,0.782608695652174
200-10-0.01,0.7916666666666666,0.782608695652174
200-4-0.05,0.7916666666666666,0.782608695652174
200-10-0.05,0.7916666666666666,0.782608695652174
200-4-0.1,0.75,0.75
200-10-0.1,0.75,0.75
