params,accuracy,f1_score
50-4-0.01,0.95,0.9696969696969697
50-10-0.01,0.95,0.9696969696969697
50-4-0.05,0.95,0.9696969696969697
50-10-0.05,0.95,0.9696969696969697
50-4-0.1,0.95,0.9696969696969697
50-10-0.1,0.95,0.9696969696969697
100-4-0.01,0.95,0.9696969696969697
100-10-0.01,0.95,0.9696969696969697
100-4-0.05,0.95,0.9696969696969697
100-10-0.05,0.95,0.9696969696969697
100-4-0.1,0.95,0.9696969696969697
100-10-0.1,0.95,0.9696969696969697
200-4-0.01,0.95,0.9696969696969697
200-10-0.01,0.95,0.9696969696969697
200-4-0.05,0.95,0.9696969696969697
200-10-0.05,0.95,0.9696969696969697
200-4-0.1,0.95,0.9696969696969697
200-10-0.1,0.95,0.9696969696969697
