params,accuracy,f1_score
50-4-0.01,0.7777777777777778,0.0
50-10-0.01,0.7777777777777778,0.0
50-4-0.05,0.5555555555555556,0.5
50-10-0.05,0.5555555555555556,0.5
50-4-0.1,0.5555555555555556,0.3333333333333333
50-10-0.1,0.5555555555555556,0.3333333333333333
100-4-0.01,0.7777777777777778,0.0
100-10-0.01,0.7777777777777778,0.0
100-4-0.05,0.4444444444444444,0.2857142857142857
100-10-0.05,0.4444444444444444,0.2857142857142857
100-4-0.1,0.4444444444444444,0.2857142857142857
100-10-0.1,0.4444444444444444,0.2857142857142857
200-4-0.01,0.5555555555555556,0.5
200-10-0.01,0.5555555555555556,0.5
200-4-0.05,0.4444444444444444,0.2857142857142857
200-10-0.05,0.4444444444444444,0.2857142857142857
200-4-0.1,0.5555555555555556,0.3333333333333333
200-10-0.1,0.5555555555555556,0.3333333333333333
