params,accuracy,f1_score
50-4-0.01,0.8636363636363636,0.0
50-10-0.01,0.8636363636363636,0.0
50-4-0.05,0.9090909090909091,0.5
50-10-0.05,0.9090909090909091,0.5
50-4-0.1,0.9090909090909091,0.5
50-10-0.1,0.9090909090909091,0.5
100-4-0.01,0.9090909090909091,0.5
100-10-0.01,0.9090909090909091,0.5
100-4-0.05,0.9090909090909091,0.5
100-10-0.05,0.9090909090909091,0.5
100-4-0.1,0.9090909090909091,0.5
100-10-0.1,0.9090909090909091,0.5
200-4-0.01,0.9090909090909091,0.5
200-10-0.01,0.9090909090909091,0.5
200-4-0.05,0.9090909090909091,0.5
200-10-0.05,0.9090909090909091,0.5
200-4-0.1,0.9090909090909091,0.5
200-10-0.1,0.9090909090909091,0.5
