params,accuracy,f1_score
50-4-0.01,0.9166666666666666,0.0
50-10-0.01,0.9166666666666666,0.0
50-4-0.05,0.9444444444444444,0.5
50-10-0.05,0.9166666666666666,0.0
50-4-0.1,0.9444444444444444,0.5
50-10-0.1,0.9444444444444444,0.5
100-4-0.01,0.9166666666666666,0.0
100-10-0.01,0.9166666666666666,0.0
100-4-0.05,0.9444444444444444,0.5
100-10-0.05,0.9444444444444444,0.5
100-4-0.1,0.9444444444444444,0.5
100-10-0.1,0.9166666666666666,0.4
200-4-0.01,0.9166666666666666,0.0
200-10-0.01,0.9166666666666666,0.0
200-4-0.05,0.9444444444444444,0.5
200-10-0.05,0.9166666666666666,0.4
200-4-0.1,0.9444444444444444,0.5
200-10-0.1,0.9166666666666666,0.4
