params,accuracy,f1_score
50-4-0.01,0.8809523809523809,0.9122807017543859
50-10-0.01,0.8809523809523809,0.9122807017543859
50-4-0.05,0.8809523809523809,0.9122807017543859
50-10-0.05,0.8809523809523809,0.9090909090909091
50-4-0.1,0.9285714285714286,0.9454545454545454
50-10-0.1,0.9047619047619048,0.9259259259259259
100-4-0.01,0.8809523809523809,0.9122807017543859
100-10-0.01,0.8809523809523809,0.9122807017543859
100-4-0.05,0.9285714285714286,0.9454545454545454
100-10-0.05,0.9047619047619048,0.9259259259259259
100-4-0.1,0.9285714285714286,0.9454545454545454
100-10-0.1,0.9047619047619048,0.9259259259259259
200-4-0.01,0.8809523809523809,0.9122807017543859
200-10-0.01,0.8809523809523809,0.9090909090909091
200-4-0.05,0.9285714285714286,0.9454545454545454
200-10-0.05,0.9047619047619048,0.9259259259259259
200-4-0.1,0.9523809523809523,0.9642857142857143
200-10-0.1,0.9047619047619048,0.9259259259259259
