params,accuracy,f1_score
50-4-0.01,0.6551724137931034,0.0
50-10-0.01,0.6551724137931034,0.0
50-4-0.05,0.6896551724137931,0.18181818181818182
50-10-0.05,0.6551724137931034,0.16666666666666666
50-4-0.1,0.6379310344827587,0.16
50-10-0.1,0.5862068965517241,0.14285714285714285
100-4-0.01,0.6896551724137931,0.18181818181818182
100-10-0.01,0.6551724137931034,0.0
100-4-0.05,0.6551724137931034,0.23076923076923078
100-10-0.05,0.603448275862069,0.14814814814814814
100-4-0.1,0.6724137931034483,0.2962962962962963
100-10-0.1,0.6206896551724138,0.26666666666666666
200-4-0.01,0.6896551724137931,0.18181818181818182
200-10-0.01,0.6724137931034483,0.17391304347826086
200-4-0.05,0.6724137931034483,0.24
200-10-0.05,0.6379310344827587,0.27586206896551724
200-4-0.1,0.7241379310344828,0.38461538461538464
200-10-0.1,0.6206896551724138,0.26666666666666666
