params,accuracy,f1_score
50-4-0.01,0.5652173913043478,0.5454545454545454
50-10-0.01,0.5362318840579711,0.5294117647058824
50-4-0.05,0.6086956521739131,0.6086956521739131
50-10-0.05,0.5942028985507246,0.5757575757575758
50-4-0.1,0.5797101449275363,0.5915492957746479
50-10-0.1,0.5507246376811594,0.5373134328358209
100-4-0.01,0.5797101449275363,0.5671641791044776
100-10-0.01,0.5797101449275363,0.5671641791044776
100-4-0.05,0.5797101449275363,0.5797101449275363
100-10-0.05,0.5217391304347826,0.5217391304347826
100-4-0.1,0.5652173913043478,0.5588235294117647
100-10-0.1,0.5507246376811594,0.5230769230769231
200-4-0.01,0.6086956521739131,0.6086956521739131
200-10-0.01,0.5797101449275363,0.5797101449275363
200-4-0.05,0.5652173913043478,0.5454545454545454
200-10-0.05,0.5217391304347826,0.5217391304347826
200-4-0.1,0.5217391304347826,0.5074626865671642
200-10-0.1,0.5507246376811594,0.5230769230769231
