params,accuracy,f1_score
50-4-0.01,0.8484848484848485,0.8
50-10-0.01,0.8484848484848485,0.8
50-4-0.05,0.9090909090909091,0.8888888888888888
50-10-0.05,0.9393939393939394,0.9285714285714286
50-4-0.1,0.9393939393939394,0.9285714285714286
50-10-0.1,0.9393939393939394,0.9285714285714286
100-4-0.01,0.8484848484848485,0.8
100-10-0.01,0.8484848484848485,0.8
100-4-0.05,0.9393939393939394,0.9285714285714286
100-10-0.05,0.9393939393939394,0.9285714285714286
100-4-0.1,0.8787878787878788,0.8461538461538461
100-10-0.1,0.8787878787878788,0.8571428571428571
200-4-0.01,0.8181818181818182,0.75
200-10-0.01,0.8484848484848485,0.8
200-4-0.05,0.8787878787878788,0.8461538461538461
200-10-0.05,0.9090909090909091,0.896551724137931
200-4-0.1,0.8484848484848485,0.8148148148148148
200-10-0.1,0.8484848484848485,0.8148148148148148
