params,accuracy,f1_score
50-4-0.01,0.6935483870967742,0.0
50-10-0.01,0.6935483870967742,0.0
50-4-0.05,0.7741935483870968,0.4166666666666667
50-10-0.05,0.7258064516129032,0.37037037037037035
50-4-0.1,0.7580645161290323,0.4444444444444444
50-10-0.1,0.7096774193548387,0.4
100-4-0.01,0.7258064516129032,0.19047619047619047
100-10-0.01,0.7419354838709677,0.2727272727272727
100-4-0.05,0.7419354838709677,0.42857142857142855
100-10-0.05,0.7096774193548387,0.4
100-4-0.1,0.7258064516129032,0.41379310344827586
100-10-0.1,0.6935483870967742,0.3870967741935484
200-4-0.01,0.7741935483870968,0.4166666666666667
200-10-0.01,0.7419354838709677,0.38461538461538464
200-4-0.05,0.6935483870967742,0.3870967741935484
200-10-0.05,0.6774193548387096,0.375
200-4-0.1,0.6774193548387096,0.3333333333333333
200-10-0.1,0.6935483870967742,0.3870967741935484
