params,accuracy,f1_score
50-4-0.01,0.8387096774193549,0.9122807017543859
50-10-0.01,0.8387096774193549,0.9122807017543859
50-4-0.05,0.8709677419354839,0.9285714285714286
50-10-0.05,0.8387096774193549,0.9122807017543859
50-4-0.1,0.8709677419354839,0.9285714285714286
50-10-0.1,0.8709677419354839,0.9285714285714286
100-4-0.01,0.8387096774193549,0.9122807017543859
100-10-0.01,0.8387096774193549,0.9122807017543859
100-4-0.05,0.8709677419354839,0.9285714285714286
100-10-0.05,0.8709677419354839,0.9285714285714286
100-4-0.1,0.8709677419354839,0.9285714285714286
100-10-0.1,0.8709677419354839,0.9285714285714286
200-4-0.01,0.8387096774193549,0.9122807017543859
200-10-0.01,0.8387096774193549,0.9122807017543859
200-4-0.05,0.8709677419354839,0.9285714285714286
200-10-0.05,0.8709677419354839,0.9285714285714286
200-4-0.1,0.8709677419354839,0.9285714285714286
200-10-0.1,0.8709677419354839,0.9285714285714286
