params,accuracy,f1_score
50-4-0.01,0.8732394366197183,0.9072164948453608
50-10-0.01,0.8873239436619719,0.9183673469387755
50-4-0.05,0.9154929577464789,0.9375
50-10-0.05,0.9154929577464789,0.9375
50-4-0.1,0.9295774647887324,0.9473684210526315
50-10-0.1,0.9295774647887324,0.9473684210526315
100-4-0.01,0.8873239436619719,0.9166666666666666
100-10-0.01,0.9014084507042254,0.9278350515463918
100-4-0.05,0.9295774647887324,0.9473684210526315
100-10-0.05,0.9436619718309859,0.9574468085106383
100-4-0.1,0.9295774647887324,0.9473684210526315
100-10-0.1,0.9295774647887324,0.9473684210526315
200-4-0.01,0.9154929577464789,0.9375
200-10-0.01,0.9154929577464789,0.9375
200-4-0.05,0.9436619718309859,0.9574468085106383
200-10-0.05,0.9436619718309859,0.9574468085106383
200-4-0.1,0.9436619718309859,0.9574468085106383
200-10-0.1,0.9436619718309859,0.9574468085106383
