params,accuracy,f1_score
50-4-0.01,0.5,0.6666666666666666
50-10-0.01,0.5,0.6666666666666666
50-4-0.05,1.0,1.0
50-10-0.05,1.0,1.0
50-4-0.1,0.9166666666666666,0.9090909090909091
50-10-0.1,0.9166666666666666,0.9090909090909091
100-4-0.01,0.9166666666666666,0.9230769230769231
100-10-0.01,0.9166666666666666,0.9230769230769231
100-4-0.05,0.9166666666666666,0.9090909090909091
100-10-0.05,0.9166666666666666,0.9090909090909091
100-4-0.1,0.75,0.7272727272727273
100-10-0.1,0.75,0.7272727272727273
200-4-0.01,1.0,1.0
200-10-0.01,1.0,1.0
200-4-0.05,0.75,0.7272727272727273
200-10-0.05,0.75,0.7272727272727273
200-4-0.1,0.9166666666666666,0.9090909090909091
200-10-0.1,0.9166666666666666,0.9090909090909091
