params,accuracy,f1_score
50-4-0.01,0.8333333333333334,0.8
50-10-0.01,0.8333333333333334,0.8
50-4-0.05,0.6666666666666666,0.6666666666666666
50-10-0.05,0.6666666666666666,0.6666666666666666
50-4-0.1,0.7222222222222222,0.7368421052631579
50-10-0.1,0.6666666666666666,0.6666666666666666
100-4-0.01,0.6666666666666666,0.6666666666666666
100-10-0.01,0.6666666666666666,0.6666666666666666
100-4-0.05,0.7222222222222222,0.7368421052631579
100-10-0.05,0.6666666666666666,0.6666666666666666
100-4-0.1,0.7222222222222222,0.7368421052631579
100-10-0.1,0.7222222222222222,0.7368421052631579
200-4-0.01,0.6666666666666666,0.6666666666666666
200-10-0.01,0.6666666666666666,0.6666666666666666
200-4-0.05,0.7222222222222222,0.7368421052631579
200-10-0.05,0.7222222222222222,0.7368421052631579
200-4-0.1,0.7777777777777778,0.8
200-10-0.1,0.7777777777777778,0.8
