params,accuracy,f1_score
50-4-0.01,0.7272727272727273,0.6666666666666666
50-10-0.01,0.7272727272727273,0.6666666666666666
50-4-0.05,0.8181818181818182,0.7777777777777778
50-10-0.05,0.8181818181818182,0.7777777777777778
50-4-0.1,0.8636363636363636,0.8421052631578947
50-10-0.1,0.8636363636363636,0.8421052631578947
100-4-0.01,0.7727272727272727,0.7368421052631579
100-10-0.01,0.7727272727272727,0.7368421052631579
100-4-0.05,0.8636363636363636,0.8421052631578947
100-10-0.05,0.8636363636363636,0.8421052631578947
100-4-0.1,0.8181818181818182,0.8
100-10-0.1,0.8181818181818182,0.8
200-4-0.01,0.8181818181818182,0.7777777777777778
200-10-0.01,0.8181818181818182,0.7777777777777778
200-4-0.05,0.9090909090909091,0.8888888888888888
200-10-0.05,0.9090909090909091,0.8888888888888888
200-4-0.1,0.9090909090909091,0.8888888888888888
200-10-0.1,0.9090909090909091,0.8888888888888888
