params,accuracy,f1_score
50-4-0.01,0.42857142857142855,0.3333333333333333
50-10-0.01,0.42857142857142855,0.3333333333333333
50-4-0.05,0.14285714285714285,0.25
50-10-0.05,0.14285714285714285,0.25
50-4-0.1,0.14285714285714285,0.25
50-10-0.1,0.14285714285714285,0.25
100-4-0.01,0.14285714285714285,0.25
100-10-0.01,0.14285714285714285,0.25
100-4-0.05,0.14285714285714285,0.25
100-10-0.05,0.14285714285714285,0.25
100-4-0.1,0.14285714285714285,0.25
100-10-0.1,0.14285714285714285,0.25
200-4-0.01,0.14285714285714285,0.25
200-10-0.01,0.14285714285714285,0.25
200-4-0.05,0.14285714285714285,0.25
200-10-0.05,0.14285714285714285,0.25
200-4-0.1,0.14285714285714285,0.25
200-10-0.1,0.14285714285714285,0.25
