params,accuracy,f1_score
50-4-0.01,0.6111111111111112,0.0
50-10-0.01,0.6111111111111112,0.0
50-4-0.05,0.5555555555555556,0.0
50-10-0.05,0.5555555555555556,0.0
50-4-0.1,0.4444444444444444,0.0
50-10-0.1,0.4444444444444444,0.0
100-4-0.01,0.6111111111111112,0.0
100-10-0.01,0.6111111111111112,0.0
100-4-0.05,0.4444444444444444,0.0
100-10-0.05,0.4444444444444444,0.0
100-4-0.1,0.4444444444444444,0.0
100-10-0.1,0.4444444444444444,0.0
200-4-0.01,0.5555555555555556,0.0
200-10-0.01,0.5555555555555556,0.0
200-4-0.05,0.4444444444444444,0.0
200-10-0.05,0.4444444444444444,0.0
200-4-0.1,0.4444444444444444,0.16666666666666666
200-10-0.1,0.4444444444444444,0.0
