params,accuracy,f1_score
50-4-0.01,0.85,0.8125
50-10-0.01,0.95,0.9333333333333333
50-4-0.05,0.95,0.9333333333333333
50-10-0.05,0.975,0.9655172413793104
50-4-0.1,0.95,0.9333333333333333
50-10-0.1,0.975,0.9655172413793104
100-4-0.01,0.85,0.8125
100-10-0.01,0.975,0.9655172413793104
100-4-0.05,0.95,0.9333333333333333
100-10-0.05,0.975,0.9655172413793104
100-4-0.1,1.0,1.0
100-10-0.1,0.975,0.9655172413793104
200-4-0.01,0.95,0.9333333333333333
200-10-0.01,0.975,0.9655172413793104
200-4-0.05,1.0,1.0
200-10-0.05,0.975,0.9655172413793104
200-4-0.1,1.0,1.0
200-10-0.1,0.975,0.9655172413793104
