params,accuracy,f1_score
50-4-0.01,0.74,0.7346938775510204
50-10-0.01,0.72,0.7083333333333334
50-4-0.05,0.76,0.7692307692307693
50-10-0.05,0.78,0.7755102040816326
50-4-0.1,0.86,0.8679245283018868
50-10-0.1,0.8,0.7916666666666666
100-4-0.01,0.7,0.6808510638297872
100-10-0.01,0.72,0.7083333333333334
100-4-0.05,0.84,0.8461538461538461
100-10-0.05,0.8,0.7916666666666666
100-4-0.1,0.82,0.8235294117647058
100-10-0.1,0.8,0.8
200-4-0.01,0.76,0.7692307692307693
200-10-0.01,0.76,0.7692307692307693
200-4-0.05,0.82,0.8235294117647058
200-10-0.05,0.78,0.7755102040816326
200-4-0.1,0.8,0.8
200-10-0.1,0.8,0.8
