params,accuracy,f1_score
50-4-0.01,0.6881720430107527,0.32558139534883723
50-10-0.01,0.6989247311827957,0.36363636363636365
50-4-0.05,0.7096774193548387,0.5263157894736842
50-10-0.05,0.6989247311827957,0.5172413793103449
50-4-0.1,0.7204301075268817,0.5666666666666667
50-10-0.1,0.7311827956989247,0.576271186440678
100-4-0.01,0.7204301075268817,0.5185185185185185
100-10-0.01,0.7096774193548387,0.49056603773584906
100-4-0.05,0.7311827956989247,0.5901639344262295
100-10-0.05,0.7096774193548387,0.5423728813559322
100-4-0.1,0.7311827956989247,0.6031746031746031
100-10-0.1,0.7311827956989247,0.576271186440678
200-4-0.01,0.7096774193548387,0.5263157894736842
200-10-0.01,0.7311827956989247,0.5454545454545454
200-4-0.05,0.7419354838709677,0.6129032258064516
200-10-0.05,0.7204301075268817,0.5666666666666667
200-4-0.1,0.6881720430107527,0.5396825396825397
200-10-0.1,0.7096774193548387,0.5573770491803278
