params,accuracy,f1_score
50-4-0.01,0.6428571428571429,0.5714285714285714
50-10-0.01,0.6190476190476191,0.5555555555555556
50-4-0.05,0.7142857142857143,0.7
50-10-0.05,0.6904761904761905,0.6486486486486487
50-4-0.1,0.7619047619047619,0.7368421052631579
50-10-0.1,0.7619047619047619,0.7222222222222222
100-4-0.01,0.6666666666666666,0.6111111111111112
100-10-0.01,0.6666666666666666,0.6111111111111112
100-4-0.05,0.7857142857142857,0.7567567567567568
100-10-0.05,0.7857142857142857,0.7567567567567568
100-4-0.1,0.7619047619047619,0.7368421052631579
100-10-0.1,0.7857142857142857,0.7567567567567568
200-4-0.01,0.6904761904761905,0.6486486486486487
200-10-0.01,0.6904761904761905,0.6486486486486487
200-4-0.05,0.8095238095238095,0.7894736842105263
200-10-0.05,0.7857142857142857,0.7567567567567568
200-4-0.1,0.8095238095238095,0.7894736842105263
200-10-0.1,0.7619047619047619,0.7222222222222222
