params,accuracy,f1_score
50-4-0.01,0.6666666666666666,0.8
50-10-0.01,0.6666666666666666,0.8
50-4-0.05,0.7407407407407407,0.8205128205128205
50-10-0.05,0.7962962962962963,0.8607594936708861
50-4-0.1,0.7222222222222222,0.8051948051948052
50-10-0.1,0.7777777777777778,0.8461538461538461
100-4-0.01,0.6666666666666666,0.8
100-10-0.01,0.7777777777777778,0.85
100-4-0.05,0.7407407407407407,0.8157894736842105
100-10-0.05,0.7777777777777778,0.8461538461538461
100-4-0.1,0.7407407407407407,0.8157894736842105
100-10-0.1,0.7777777777777778,0.8461538461538461
200-4-0.01,0.7407407407407407,0.8205128205128205
200-10-0.01,0.7777777777777778,0.85
200-4-0.05,0.7407407407407407,0.8157894736842105
200-10-0.05,0.7777777777777778,0.8461538461538461
200-4-0.1,0.7777777777777778,0.8461538461538461
200-10-0.1,0.7407407407407407,0.8157894736842105
