params,accuracy,f1_score
50-4-0.01,0.8142857142857143,0.8925619834710744
50-10-0.01,0.8,0.8833333333333333
50-4-0.05,0.9,0.9345794392523364
50-10-0.05,0.9142857142857143,0.9444444444444444
50-4-0.1,0.8857142857142857,0.9245283018867925
50-10-0.1,0.9142857142857143,0.9433962264150944
100-4-0.01,0.8857142857142857,0.9272727272727272
100-10-0.01,0.9,0.9369369369369369
100-4-0.05,0.8857142857142857,0.9245283018867925
100-10-0.05,0.9285714285714286,0.9532710280373832
100-4-0.1,0.8857142857142857,0.9245283018867925
100-10-0.1,0.9142857142857143,0.9433962264150944
200-4-0.01,0.9,0.9357798165137615
200-10-0.01,0.9285714285714286,0.9541284403669725
200-4-0.05,0.8857142857142857,0.9245283018867925
200-10-0.05,0.9142857142857143,0.9433962264150944
200-4-0.1,0.9,0.9345794392523364
200-10-0.1,0.9142857142857143,0.9433962264150944
